project,datetime_UTC,datetime_local,siteId,rType,appr1,appr2,appr3,appr4,rep,sublocation,Temp_EXO_C,ODOSat,ODO_mg_L,SpCond_uS_cm,Conductivity_uS_cm,FDOM_QSU_Raw,FDOM_QSU_Temp,FDOM_QSU_TempTurb,Turbidity_NTU,flag_Temp_EXO_C,flag_ODOSat,flag_ODO_mg_L,flag_SpCond_uS_cm,flag_Conductivity_uS_cm,flag_FDOM_QSU,flag_FDOM_QSU_Temp,flag_FDOM_QSU_TempTurb,flag_Turbidity_NTU
AIMS,2024-01-01 00:00:00,2023-12-31 17:00:00,GSS01,EXOS,1,0,0,0,20240517-20241019,SW,NA,NA,NA,NA,NA,NA,NA,NA,NA,M,M,M,M,M,M,M,M,M
AIMS,2024-01-01 00:15:00,2023-12-31 17:15:00,GSS01,EXOS,1,0,0,0,20240517-20241019,SW,NA,NA,NA,NA,NA,NA,NA,NA,NA,M,M,M,M,M,M,M,M,M
AIMS,2024-01-01 00:30:00,2023-12-31 17:30:00,GSS01,EXOS,1,0,0,0,20240517-20241019,SW,NA,NA,NA,NA,NA,NA,NA,NA,NA,M,M,M,M,M,M,M,M,M
AIMS,2024-01-01 00:45:00,2023-12-31 17:45:00,GSS01,EXOS,1,0,0,0,20240517-20241019,SW,NA,NA,NA,NA,NA,NA,NA,NA,NA,M,M,M,M,M,M,M,M,M
AIMS,2024-01-01 01:00:00,2023-12-31 18:00:00,GSS01,EXOS,1,0,0,0,20240517-20241019,SW,NA,NA,NA,NA,NA,NA,NA,NA,NA,M,M,M,M,M,M,M,M,M
AIMS,2024-01-01 01:15:00,2023-12-31 18:15:00,GSS01,EXOS,1,0,0,0,20240517-20241019,SW,NA,NA,NA,NA,NA,NA,NA,NA,NA,M,M,M,M,M,M,M,M,M
AIMS,2024-01-01 01:30:00,2023-12-31 18:30:00,GSS01,EXOS,1,0,0,0,20240517-20241019,SW,NA,NA,NA,NA,NA,NA,NA,NA,NA,M,M,M,M,M,M,M,M,M
AIMS,2024-01-01 01:45:00,2023-12-31 18:45:00,GSS01,EXOS,1,0,0,0,20240517-20241019,SW,NA,NA,NA,NA,NA,NA,NA,NA,NA,M,M,M,M,M,M,M,M,M
AIMS,2024-01-01 02:00:00,2023-12-31 19:00:00,GSS01,EXOS,1,0,0,0,20240517-20241019,SW,NA,NA,NA,NA,NA,NA,NA,NA,NA,M,M,M,M,M,M,M,M,M
AIMS,2024-01-01 02:15:00,2023-12-31 19:15:00,GSS01,EXOS,1,0,0,0,20240517-20241019,SW,NA,NA,NA,NA,NA,NA,NA,NA,NA,M,M,M,M,M,M,M,M,M
AIMS,2024-01-01 02:30:00,2023-12-31 19:30:00,GSS01,EXOS,1,0,0,0,20240517-20241019,SW,NA,NA,NA,NA,NA,NA,NA,NA,NA,M,M,M,M,M,M,M,M,M
AIMS,2024-01-01 02:45:00,2023-12-31 19:45:00,GSS01,EXOS,1,0,0,0,20240517-20241019,SW,NA,NA,NA,NA,NA,NA,NA,NA,NA,M,M,M,M,M,M,M,M,M
AIMS,2024-01-01 03:00:00,2023-12-31 20:00:00,GSS01,EXOS,1,0,0,0,20240517-20241019,SW,NA,NA,NA,NA,NA,NA,NA,NA,NA,M,M,M,M,M,M,M,M,M
AIMS,2024-01-01 03:15:00,2023-12-31 20:15:00,GSS01,EXOS,1,0,0,0,20240517-20241019,SW,NA,NA,NA,NA,NA,NA,NA,NA,NA,M,M,M,M,M,M,M,M,M
AIMS,2024-01-01 03:30:00,2023-12-31 20:30:00,GSS01,EXOS,1,0,0,0,20240517-20241019,SW,NA,NA,NA,NA,NA,NA,NA,NA,NA,M,M,M,M,M,M,M,M,M
AIMS,2024-01-01 03:45:00,2023-12-31 20:45:00,GSS01,EXOS,1,0,0,0,20240517-20241019,SW,NA,NA,NA,NA,NA,NA,NA,NA,NA,M,M,M,M,M,M,M,M,M
