project,datetime_UTC,datetime_local,siteId,rType,appr1,appr2,appr3,appr4,rep,sublocation,Temp_EXO_C,ODOSat,ODO_mg_L,SpCond_uS_cm,Conductivity_uS_cm,FDOM_QSU_Raw,FDOM_QSU_Temp,FDOM_QSU_TempTurb,Turbidity_NTU,flag_Temp_EXO_C,flag_ODOSat,flag_ODO_mg_L,flag_SpCond_uS_cm,flag_Conductivity_uS_cm,flag_FDOM_QSU,flag_FDOM_QSU_Temp,flag_FDOM_QSU_TempTurb,flag_Turbidity_NTU
AIMS,2022-03-28 09:45:00,2022-03-28 03:45:00,GSS01,EXOS,1,0,0,0,20220328-20220722,SW,4.03,95.1,12.45,121,NA,68.84,62.79627627,66.14806244,11.43,,,,,M,,,,
AIMS,2022-03-28 10:00:00,2022-03-28 04:00:00,GSS01,EXOS,1,0,0,0,20220328-20220722,SW,3.97,95.1,12.47,121,NA,68.95,62.8808234,66.20445255,11.32,,,,,M,,,,
AIMS,2022-03-28 10:15:00,2022-03-28 04:15:00,GSS01,EXOS,1,0,0,0,20220328-20220722,SW,3.92,95.1,12.48,122,NA,69.05,62.95884513,66.25389483,11.21,,,,,M,,,,
AIMS,2022-03-28 10:30:00,2022-03-28 04:30:00,GSS01,EXOS,1,0,0,0,20220328-20220722,SW,3.86,95,12.5,122,NA,69.1,62.9886191,66.2941497,11.24,,,,,M,,,,
AIMS,2022-03-28 10:45:00,2022-03-28 04:45:00,GSS01,EXOS,1,0,0,0,20220328-20220722,SW,3.82,95,12.51,122,NA,69.11,62.987194,66.29859838,11.26,,,,,M,,,,
AIMS,2022-03-28 11:00:00,2022-03-28 05:00:00,GSS01,EXOS,1,0,0,0,20220328-20220722,SW,3.77,95,12.53,122,NA,69.04,62.91023811,66.21759671,11.26,,,,,M,,,,
AIMS,2022-03-28 11:15:00,2022-03-28 05:15:00,GSS01,EXOS,1,0,0,0,20220328-20220722,SW,3.74,95,12.54,122,NA,69.02,62.88412422,66.16932501,11.19,,,,,M,,,,
AIMS,2022-03-28 11:30:00,2022-03-28 05:30:00,GSS01,EXOS,1,0,0,0,20220328-20220722,SW,3.7,95,12.55,123,NA,68.99,62.8462794,66.10279981,11.1,,,,,M,,,,
AIMS,2022-03-28 11:45:00,2022-03-28 05:45:00,GSS01,EXOS,1,0,0,0,20220328-20220722,SW,3.67,95,12.56,123,NA,68.9,62.75642283,66.03495223,11.19,,,,,M,,,,
AIMS,2022-03-28 12:00:00,2022-03-28 06:00:00,GSS01,EXOS,1,0,0,0,20220328-20220722,SW,3.63,95,12.57,123,NA,68.81,62.66396956,65.89033742,11.03,,,,,M,,,,
AIMS,2022-03-28 12:15:00,2022-03-28 06:15:00,GSS01,EXOS,1,0,0,0,20220328-20220722,SW,3.59,95,12.58,123,NA,68.73,62.58065249,65.78796216,10.98,,,,,M,,,,
AIMS,2022-03-28 12:30:00,2022-03-28 06:30:00,GSS01,EXOS,1,0,0,0,20220328-20220722,SW,3.55,95,12.59,123,NA,68.61,62.4609482,65.63854156,10.9,,,,,M,,,,
AIMS,2022-03-28 12:45:00,2022-03-28 06:45:00,GSS01,EXOS,1,0,0,0,20220328-20220722,SW,3.52,94.9,12.59,123,NA,68.54,62.38940149,65.55746702,10.88,,,,,M,,,,
AIMS,2022-03-28 13:00:00,2022-03-28 07:00:00,GSS01,EXOS,1,0,0,0,20220328-20220722,SW,3.5,94.9,12.6,123,NA,68.4,62.2567629,65.37697106,10.74,,,,,M,,,,
AIMS,2022-03-28 13:15:00,2022-03-28 07:15:00,GSS01,EXOS,1,0,0,0,20220328-20220722,SW,3.47,94.9,12.61,124,NA,68.32,62.17615599,65.26592873,10.65,,,,,M,,,,
