"siteId","mean_temp","n"
"TLA02",19.5942461005199,7
"TLA04",19.0248474870017,7
"TLB01",17.9647175043328,7
"TLB02",18.4862530329289,7
"TLC02",18.3780017331023,7
"TLC03",18.6197435008666,7
"TLCG1",19.295259965338,7
"TLM03",20.6406239168111,7
"TLM04",20.699726169844,7
"TLM05",20.9106499133449,7
"TLM08",19.2480467937608,7
"TLM09",19.269280762565,7
"TLM13",19.7492547660312,7
"TLM14",20.2053812824957,7
"TLM15",19.6913362218371,7
"TLM17",19.4808388214905,7
"TLM18",19.1659757365685,7
"TLM22",23.4126967071057,7
"TLMG5",19.7569289428076,7
"TLZ01",17.8167660311958,7
"TLA01",19.3730918544194,7
"TLC01",18.844301559792,7
"TLM01",20.0737877192982,7
"TLM06",19.2204818024263,7
"TLM10",19.3462235701906,7
"TLM16",18.4905407279029,7
"TLM19",19.3343639514731,7
"01M01",15.1433674176776,7
"01M02",15.1780173310225,7
"01M03",16.3045736568458,7
"01M05",15.8203847487002,7
"02M02",16.029259965338,7
"02M03",16.1449098786828,7
"02M06",15.8397833622184,7
"02M07",15.3321837088388,7
"02M08",15.2196585788562,7
"02M09",15.3102149046794,7
"02M10",15.2814090121317,7
"02M11",17.6465043327556,7
"04M01",15.7289064124783,7
"04M02",15.5250225303293,7
"04M03",15.2511057192374,7
"04M04",15.1296932409012,7
"04M05",14.9563396880416,7
"04M06",14.9044835355286,7
"04M07",14.6709462738302,7
"04M08",14.6689410745234,7
"04M09",15.2280329289428,7
"04M10",15.2542547660312,7
"04M11",15.0480693240901,7
"04M12",14.4341785095321,7
"04T02",15.8391039861352,7
"04W02",15.8584679376083,7
"04W03",16.3843396880416,7
"04W04",16.5336655112652,7
"20M02",14.771164644714,7
"20M04",15.6570485268631,7
"20M05",15.5659965337955,7
"SFM01",15.4701750433276,7
"SFM02",15.5457105719237,7
"SFM04",15.3634090121317,7
"SFM05",15.5381091854419,7
"SFM07",15.6730467937608,7
"SFT01",15.6311178509532,7
"02M01",16.1772426343154,7
"SFM03",15.3844090121317,7
"STIC01",9.10514904679376,7
"STIC02",9.03092374350087,7
"STIC03",8.97727036395147,7
"STIC05",8.98726516464471,7
"STIC06",10.2293916811092,7
"STIC07",7.53044367417678,7
"STIC09",9.03745060658579,7
"STIC11",8.50900693240901,7
"STIC13",8.08397920277296,7
"STIC17",7.43370537261698,7
"STIC22",6.59279896013865,7
"STIC25",10.8107071057192,7
"STIC51",8.97923570190641,7
"STIC54",9.08198093587522,7
"STIC55",8.80672443674177,7
"STIC63",8.58152339688042,7
"STIC66",8.60771750433276,7
"STIC67",8.30336395147314,7
"STIC70",8.22127902946274,7
"STIC75",8.14118544194107,7
"STIC76",8.0709116117851,7
"STIC78",7.81026343154246,7
"GPZ02",8.0882027729636,7
"GPZ03",7.8314835355286,7
"GPZ05",7.62144367417678,7
"GPZ06",6.52248526863085,7
"GSS01",8.13715277777778,7
