"date","site","reads","reads_after","diff","per"
20210604,"SFM01",18338,12702,5636,69
20211123,"ENM01",15899,13736,2163,86
20211214,"SFM01",11721,3160,8561,27
20220328,"SFM01",9195,5992,3203,65
20220418,"SFM01",25826,0,25826,0
20220506,"ENM01",15558,11965,3593,77
20220602,"SFM01",9059,8009,1050,88
20220603,"ENM01",15619,12383,3236,79
20220615,"ENM01",20101,12234,7867,61
20220714,"ENM01",14213,10484,3729,74
20220720,"SFM01",6967,5912,1055,85
20220803,"ENM01",9832,9388,444,95
20220808,"SFM01",3367,336,3031,10
20220831,"ENM01",10434,9274,1160,89
20221013,"SFM01",10323,9479,844,92
20221111,"04M05",14701,13991,710,95
