"date","site","reads","reads_after","diff","per"
20211027,"TLM01",2236,2077,159,93
20211103,"PRM01",19758,3052,16706,15
20211104,"WHM01",18502,12168,6334,66
20211117,"TLM01",19603,5627,13976,29
20211121,"PRM01",9633,4295,5338,45
20211129,"WHM01",7439,4502,2937,61
20211208,"TLM01",19388,6326,13062,33
20211215,"PRM01",11257,2889,8368,26
20211220,"WHM01",29271,19139,10132,65
20220105,"TLM01",21596,3597,17999,17
20220106,"WHM01",4658,4658,0,100
20220112,"PRM01",20341,7814,12527,38
20220124,"TLM01",10648,1355,9293,13
20220126,"WHM01",89994,290,89704,0
20220211,"PRM01",26372,5645,20727,21
20220216,"WHM01",2078,,,
20220218,"TLM01",16765,4617,12148,28
20220307,"WHM01",11860,4453,7407,38
20220310,"TLM01",24060,10458,13602,43
20220313,"PRM01",12477,4541,7936,36
20220329,"TLM01",17115,13961,3154,82
20220406,"PRM01",23858,1877,21981,8
20220422,"TLM01",23978,12731,11247,53
20220503,"PRM01",18735,499,18236,3
20220511,"WHM01",7903,4925,2978,62
20220512,"TLM01",8730,4360,4370,50
20220525,"PRM01",4714,565,4149,12
20220601,"WHM01",35007,11742,23265,34
20220609,"TLM01",31684,7748,23936,24
20220615,"PRM01",19782,4523,15259,23
20220627,"WHM01",26637,,,
20220628,"TLM01",9924,4736,5188,48
20220713,"WHM01",15242,1882,13360,12
20220719,"TLM01",10066,6297,3769,63
20220801,"WHM01",17803,5364,12439,30
20220811,"TLM01",5877,1492,4385,25
20220831,"WHM01",934,,,
20220902,"TLM01",11952,675,11277,6
20220914,"WHM01",11710,10399,1311,89
20220916,"TLM01",7101,4234,2867,60
20221005,"WHM01",6099,2153,3946,35
20221007,"TLM01",10176,4492,5684,44
20221024,"TLM01",3553,2993,560,84
20221026,"WHM01",4038,2859,1179,71
20221115,"TLM01",5210,3841,1369,74
20221116,"WHM01",14702,13952,750,95
20221212,"TLM01",9552,4517,5035,47
20221220,"PRM01",5485,2701,2784,49
20230106,"TLM01",7854,4408,3446,56
20230111,"PRM01",6311,2109,4202,33
20230125,"WHM01",13466,,,
20230130,"TLM01",28011,19742,8269,70
20230209,"WHM01",24,24,0,100
20230213,"PRM01",4721,1396,3325,30
