"date","site","reads","reads_after","diff","per"
20230626,"STIC01",5483,2910,2573,53
20230627,"GSS01",7173,4072,3101,57
20230628,"GPZ03",4869,2304,2565,47
20230628,"STIC02",6076,3771,2305,62
20230628,"STIC03",7429,4537,2892,61
20230628,"STIC09",3611,2274,1337,63
20230628,"STIC51",5299,3188,2111,60
20230628,"STIC54",3674,2054,1620,56
20230628,"STIC55",6922,5401,1521,78
20230628,"STIC63",7342,3304,4038,45
20230628,"STIC75",6092,2255,3837,37
20230629,"GPZ02",7344,1383,5961,19
20230629,"GPZ05",2276,171,2105,8
20230629,"STIC05",3956,3023,933,76
20230629,"STIC06",13067,2204,10863,17
20230629,"STIC07",2820,1129,1691,40
20230629,"STIC11",4452,2737,1715,61
20230629,"STIC17",4885,3542,1343,73
20230629,"STIC70",4237,2071,2166,49
20230630,"GPZ06",6106,4395,1711,72
20230630,"GPZ07",6035,4727,1308,78
20230630,"GPZ08",5970,2760,3210,46
20230630,"STIC13",9502,6159,3343,65
20230630,"STIC22",4834,4113,721,85
20230630,"STIC25",7646,5651,1995,74
20230630,"STIC66",7546,3726,3820,49
20230630,"STIC67",4181,2355,1826,56
20230630,"STIC76",6624,4852,1772,73
20230630,"STIC78",5335,4629,706,87
